Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.372211342748145,-0.894202970778168,0.585220933218959,0,0,0,1.02207100109426,0.000232130094245651,-1.63758998271965E-09,-4.56902913701348E-07,0.068351924805896,7.69207335477764E-08,0.0683749040430042,0,0,0,0,0,0,package://cncweld/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cncweld/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
X_Link,-0.0121657541382556,0.0306893875377128,-0.101145516848621,0,0,0,0.127862470765659,4.25637299093297E-05,-4.8976062882854E-07,-4.34214988462513E-13,6.43790387833873E-05,3.21967148230746E-11,5.52525957137846E-05,0,0,0,0,0,0,package://cncweld/meshes/X_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cncweld/meshes/X_Link.STL,,X_link-1,Origin_base_X_joint,Axis_base_X_joint,base_X_joint,fixed,1.11229987211443,-1.05664693000008,0.456958923742137,1.61150805156261,0.042452394373659,-0.00865604885203372,base_link,0,0,0,,,,,,,,,,,,
